Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.9n,392,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.31n,392,
Delay(Ch1,Ch2),64.93ms,65.020597m,64.93m,66.08m,93.49µ,392,

