Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,451.4p,4.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,45.83n,4.0,
Delay(Ch1,Ch2),66.07ms,66.078039m,66.07m,66.08m,3.821µ,4.0,

