Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.381n,449,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.31n,449,
Delay(Ch1,Ch2),64.76ms,64.852768m,64.76m,66.08m,93.48µ,449,

