Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,16.71n,127,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.31n,127,
Delay(Ch1,Ch2),65.71ms,65.799643m,65.71m,66.08m,84.95µ,127,

