Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.61n,441,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.05n,441,
Delay(Ch1,Ch2),64.79ms,64.87632m,64.79m,66.08m,93.49µ,441,

