Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,19.86n,115,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.21n,115,
Delay(Ch1,Ch2),65.75ms,65.834026m,65.75m,66.08m,82.0µ,115,

