Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,19.57n,85.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,35.17n,85.0,
Delay(Ch1,Ch2),65.83ms,65.917395m,65.83m,66.08m,70.14µ,85.0,

