Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,21.67n,760,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,34.91n,760,
Delay(Ch1,Ch2),63.85ms,63.93882m,63.85m,66.08m,93.28µ,760,

