Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,15.1n,26.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.45n,26.0,
Delay(Ch1,Ch2),66.01ms,66.045548m,66.01m,66.08m,22.58µ,26.0,

