Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,12.23n,592,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.37n,592,
Delay(Ch1,Ch2),64.34ms,64.432487m,64.34m,66.08m,93.29µ,592,

