Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,13.99n,631,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.22n,631,
Delay(Ch1,Ch2),64.23ms,64.317831m,64.23m,66.08m,93.33µ,631,

