Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,21.97n,759,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,35.26n,759,
Delay(Ch1,Ch2),63.85ms,63.94176m,63.85m,66.08m,93.28µ,759,

