Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.103n,477,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.83n,477,
Delay(Ch1,Ch2),64.68ms,64.770386m,64.68m,66.08m,93.44µ,477,

