Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.558n,705,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.94n,705,
Delay(Ch1,Ch2),64.01ms,64.100386m,64.01m,66.08m,93.29µ,705,

