Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,16.02n,268,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.67n,268,
Delay(Ch1,Ch2),65.29ms,65.385927m,65.29m,66.08m,93.41µ,268,

