Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,16.08n,605,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,39.06n,605,
Delay(Ch1,Ch2),64.3ms,64.394273m,64.3m,66.08m,93.31µ,605,

