Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.77n,697,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.19n,697,
Delay(Ch1,Ch2),64.03ms,64.123893m,64.03m,66.08m,93.29µ,697,

