Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,22.06n,97.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.08n,97.0,
Delay(Ch1,Ch2),65.8ms,65.884648m,65.8m,66.08m,75.79µ,97.0,

