Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,17.76n,81.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.58n,81.0,
Delay(Ch1,Ch2),65.85ms,65.928059m,65.85m,66.08m,67.93µ,81.0,

