Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,15.73n,235,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,35.65n,235,
Delay(Ch1,Ch2),65.39ms,65.483177m,65.39m,66.08m,93.12µ,235,

