Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,7.97n,356,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.11n,356,
Delay(Ch1,Ch2),65.04ms,65.126594m,65.04m,66.08m,93.54µ,356,

