Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,4.03n,533,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.25n,533,
Delay(Ch1,Ch2),64.51ms,64.605845m,64.51m,66.08m,93.32µ,533,

