Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,19.4n,75.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.1n,75.0,
Delay(Ch1,Ch2),65.86ms,65.943758m,65.86m,66.08m,64.3µ,75.0,

